metric,value
avg_power,0.9029411764705882
q90_power,1.0
std_power,0.0861193616091631
min_power,0.7647058823529411
max_power,1.0
avg_fdr,0.08471936526594182
q90_fdr,0.1242139288862768
std_fdr,0.03388636982422107
min_fdr,0.04819277108433735
max_fdr,0.14457831325301204
